epoch,loss
0,0.0076522040739102504
1,0.004817399191385233
2,0.004171829448924066
3,0.0037840114514359723
4,0.0035805574066514615
5,0.0034523463922852726
6,0.0033269398595277833
7,0.003234270080543461
8,0.0031706612662359833
9,0.0031264155785587873
10,0.003055498852478439
11,0.003039708453201232
12,0.00300533052891846
13,0.002987743012821253
14,0.002957579889770162
15,0.002919554998597415
16,0.002907232928916146
17,0.0028815491674247904
18,0.002853255786220328
19,0.002840310055690451
20,0.002809454978264857
21,0.0028093183142287115
22,0.0028018984078735936
23,0.002770174019309597
24,0.0027662397268117373
